Id,Date,Mid,Index,BPM,,,MusicJson,MusicName,Musician,ResInfo,ResVer,ResMd5
标识,日期（年月日),歌曲唯一标识,段落,,基础音符,难度系数,音乐JSON文件[string],歌曲名（中文）,音乐家,资源下载地址,资源版本号,资源校验码
1,2018/7/15,400015,,,,,,,,,,
2,2018/7/16,400017,,,,,,,,,,
3,2018/7/17,400013,,,,,,,,,,
4,2018/7/18,400009,,,,,,,,,,
5,2018/7/19,400012,,,,,,,,,,
6,2018/7/20,400003,,,,,,,,,,
7,2018/7/21,400019,,,,,,,,,,
8,2018/7/22,400021,,,,,,,,,,
9,2018/7/23,400022,,,,,,,,,,
10,2018/7/24,400006,,,,,,,,,,
11,2018/7/25,400023,,,,,,,,,,
12,2018/7/26,400001,,,,,,,,,,
13,2018/7/27,400007,,,,,,,,,,
14,2018/7/28,400028,,,,,,,,,,
15,2018/7/29,400018,,,,,,,,,,
16,2018/7/30,400015,,,,,,,,,,
17,2018/7/31,400024,,,,,,,,,,
18,2018/8/1,400029,,,,,,,,,,
19,2018/8/2,400025,,,,,,,,,,
20,2018/8/3,400019,,,,,,,,,,
21,2018/8/4,400006,,,,,,,,,,
22,2018/8/5,400031,,,,,,,,,,
23,2018/8/6,400011,,,,,,,,,,
24,2018/8/7,400033,,,,,,,,,,
25,2018/8/8,400019,,,,,,,,,,
26,2018/8/9,400032,,,,,,,,,,
27,2018/8/10,400015,,,,,,,,,,
28,2018/8/11,400014,,,,,,,,,,
29,2018/8/12,400035,,,,,,,,,,
30,2018/8/13,400004,,,,,,,,,,
31,2018/8/14,400022,,,,,,,,,,
32,2018/8/15,400036,,,,,,,,,,
33,2018/8/16,400013,,,,,,,,,,
34,2018/8/17,400023,,,,,,,,,,
35,2018/8/18,400001,,,,,,,,,,
36,2018/8/19,400031,,,,,,,,,,
37,2018/8/20,400037,,,,,,,,,,
38,2018/8/21,400002,,,,,,,,,,
39,2018/8/22,400029,,,,,,,,,,
40,2018/8/23,400040,,,,,,,,,,
41,2018/8/24,400039,,,,,,,,,,
42,2018/8/25,400006,,,,,,,,,,
43,2018/8/26,400031,,,,,,,,,,
44,2018/8/27,400011,,,,,,,,,,
45,2018/8/28,400033,,,,,,,,,,
46,2018/8/29,400019,,,,,,,,,,
47,2018/8/30,400032,,,,,,,,,,
48,2018/8/31,400015,,,,,,,,,,
49,2018/9/1,400002,,,,,,,,,,
50,2018/9/2,400035,,,,,,,,,,
51,2018/9/3,400004,,,,,,,,,,
52,2018/9/4,400022,,,,,,,,,,
53,2018/9/5,400036,,,,,,,,,,
54,2018/9/6,400013,,,,,,,,,,
55,2018/9/7,400023,,,,,,,,,,
56,2018/9/8,400006,,,,,,,,,,
57,2018/9/9,400031,,,,,,,,,,
58,2018/9/10,400011,,,,,,,,,,
59,2018/9/11,400033,,,,,,,,,,
60,2018/9/12,400019,,,,,,,,,,
61,2018/9/13,400032,,,,,,,,,,
62,2018/9/14,400015,,,,,,,,,,
63,2018/9/15,400002,,,,,,,,,,
64,2018/9/16,400035,,,,,,,,,,
65,2018/9/17,400004,,,,,,,,,,
66,2018/9/18,400022,,,,,,,,,,
67,2018/9/19,400036,,,,,,,,,,
68,2018/9/20,400013,,,,,,,,,,
69,2018/9/21,400023,,,,,,,,,,
70,2018/9/22,400006,,,,,,,,,,
71,2018/9/23,400031,,,,,,,,,,
72,2018/9/24,400011,,,,,,,,,,
73,2018/9/25,400033,,,,,,,,,,
74,2018/9/26,400019,,,,,,,,,,
75,2018/9/27,400032,,,,,,,,,,
76,2018/9/28,400015,,,,,,,,,,
77,2018/9/29,400002,,,,,,,,,,
78,2018/9/30,400035,,,,,,,,,,
79,2018/10/1,400004,,,,,,,,,,
80,2018/10/2,400022,,,,,,,,,,
81,2018/10/3,400036,,,,,,,,,,
82,2018/10/4,400013,,,,,,,,,,
83,2018/10/5,400023,,,,,,,,,,
84,2018/10/6,400006,,,,,,,,,,
85,2018/10/7,400031,,,,,,,,,,
86,2018/10/8,400011,,,,,,,,,,
87,2018/10/9,400033,,,,,,,,,,
88,2018/10/10,400019,,,,,,,,,,
89,2018/10/11,400032,,,,,,,,,,
90,2018/10/12,400015,,,,,,,,,,
91,2018/10/13,400002,,,,,,,,,,
92,2018/10/14,400035,,,,,,,,,,
93,2018/10/15,400004,,,,,,,,,,
94,2018/10/16,400022,,,,,,,,,,
