Id,Stars,FrequenceMin,FrequenceMax,Chance,RewardType,RewardValue
标识,获取的星星数 （0-3 星星，4-6为对应皇冠1-3）,次数最小值,次数最大值,几率*10000,奖励类型（1-1-0 钻石  2-1-0 金币 5-7-x限时皮肤）,奖励的数值
1,2,1,6,6000,1-1-0,1
2,2,1,6,1500,1-1-0,2
3,2,1,6,2000,2-1-0,50
4,2,1,6,500,5-7-1,1
5,3,1,6,6000,1-1-0,1
6,3,1,6,1500,1-1-0,2
7,3,1,6,2000,2-1-0,100
8,3,1,6,500,5-7-1,1
9,4,1,6,6000,1-1-0,2
10,4,1,6,1500,1-1-0,3
11,4,1,6,2000,2-1-0,150
12,4,1,6,500,5-7-1,1
13,5,1,6,6000,1-1-0,2
14,5,1,6,1500,1-1-0,3
15,5,1,6,2000,2-1-0,200
16,5,1,6,500,5-7-1,1
17,6,1,6,6000,1-1-0,3
18,6,1,6,1500,1-1-0,4
19,6,1,6,2000,2-1-0,300
20,6,1,6,500,5-7-1,1
