Id,Mid,Type,Lock,NeedLv,NeedGold,NeedDiamond,NeedCrow,NeedCrow2,Musiclevel,RewarID,LocalMusicVer,Recommend,MusicCard,FavoriteRate,Playmark,Stylelabel,Fallingrate,TID,,GoldenSong,MusicTime,HomeOrder,VipMusicVersion,VipCn,MusicJson,Musician
序号,唯一标识,歌曲类型:1=等级 2=购买 3=竞技场 10=班级歌曲 15=FB 16=流行 19=热曲,解锁方式 1等级 2金币 13钻石 14VIP 15FB 16视频 17等级歌音乐钥匙 18音乐钥匙,所需等级,解锁需花费金币,解锁需要钻石数,解锁所需星星,解锁所需皇冠,X=（歌曲速度-60）/40,关卡100X 购买200X,判断是否为最新歌曲,推荐歌曲,对应头部卡片,热门指数,玩法备注：1黑块2长条3双黑4狂戳5滑块,风格备注：1民谣 2奏鸣曲 3练习曲  4艺术歌曲 5夜曲 6进行曲 7舞曲 8探戈歌曲 9钢琴小品  10交响曲 11变奏曲 12小奏鸣曲 13小夜曲 14回旋曲 15拉格泰姆  16歌剧序曲 17创意曲 18幽默曲 19组曲 20未知 21即兴曲 22管弦乐曲 23协奏曲 24狂想曲 25赋格 26前奏曲 27歌剧选段  28浪漫曲 29重奏曲  30大提琴组曲 31小佐达坎  32中国乐曲  33沉思曲 34安魂曲  35托卡塔 36梦幻曲   37间奏曲 38宗教歌曲 39康塔塔  40帕蒂塔 41随想曲 42沉重  43急促 44欢快 45活泼 46抒情 47中性 48忧伤  49明亮 50热烈 51清新,备注：X表示试玩片段降速的百分比，0表示试玩片段不降速,,难度分档1：X<=300，2：300<X<=360，3：X>360,首页歌曲推荐标记（1 有效）,歌曲生效时间戳,Home页排序,VIP歌曲期数,国内版VIP处理,音乐JSON文件[string],音乐家
400,200004,1,1,0,,,7,,2,2002,9,,,50,2,,,,1,,,,,,Trial,Light Your Fire
1,100001,1,1,1,,,,,1,1,,,,50,1,1,,song_tag_1,1,,,,,,Little Star,English Folk Music
2,100002,1,1,2,,,,,2,2,,,,97,1,1,,song_tag_1,1,,,,,,Jingle Bells,James Lord Pierpont
3,100003,1,1,2,,,,,2,2,,1,,112,2,25,,song_tag_8,1,,,,,,Canon,Johann Pachelbel
4,100004,1,1,2,,,,,2,2,,,,66,2,1,,song_tag_1,1,,,,,,Two Tigers,French Folk Music
5,100614,1,17,2,,,7,,2,2002,9,,,50,2,,,,1,,,,,,Kiss The Rain,Yiruma
401,200001,1,17,2,,,3,,2,2002,9,,,50,2,,,,1,,,,,,Light Your Fire,Shaun Gibson
6,100005,1,1,3,,,,,2,3,,,,67,2,1,,song_tag_1,1,,,,,,Happy New Year,English Folk Music
7,100006,1,1,3,,,,,3,4,,,,50,3,3,,song_tag_6,1,,,,,,Beyer No.8,Ferdinand Beyer
8,100007,1,1,3,,,,,3,4,,1,,89,1,46,,song_tag_11,1,,,,,,Bluestone Alley,Congfei Wei
9,100409,1,17,3,,,7,,3,2003,3,1,,114,5,9,,song_tag_22,1,1,,,,,Warblings At Eve,Brinley Richards
10,100008,1,1,4,,,,,3,5,,1,,57,2,1,,song_tag_1,1,,,,,,Jasmine,Chinese Folk Music
11,100009,1,1,4,,,,,3,5,,1,,44,3,1,,song_tag_1,1,,,,,,Dolls and Bear Dancing,Polish Folk Music
12,100010,1,1,4,,,,,4,6,,,,70,2,1,,song_tag_1,1,,,,,,Happy Birthday to You,American Folk Music
13,100613,1,17,4,,,8,,6,2006,9,,,50,2,,,,1,,,,,,River Flows In You,Yiruma
402,200002,1,17,4,,,5,,6,2006,9,,,50,2,,,,1,,,,,,Manual of Youth,TFBOYS
403,200003,1,17,4,,,5,,6,2006,9,,,50,2,,,,1,,,,,,SLAMDUNK,Die For You
14,100011,1,1,5,,,,,3,7,,1,,46,2,4,,song_tag_3,1,,,,,,Heidenroslein,Schubert
15,100012,1,1,5,,,,,4,8,,1,,40,1,1,,song_tag_1,1,,,,,,The Painter,Polish Folk Music
16,100013,1,1,5,,,,,4,8,,,,73,2,5,,song_tag_21,1,,,,,,Nocturne Op.9 No.2,Chopin
17,100140,1,17,5,,,8,,2,2002,,1,,56,1,7,,song_tag_5,1,1,,,,,The Blue Danube,Johann Strauss II
18,100014,1,1,6,,,,,4,9,,,,46,3,6,,song_tag_4,1,,,,,,The Ruins of Athens No.4,Beethoven
19,100015,1,1,6,,,,,5,10,,1,,49,1,7,,song_tag_5,1,,,,,,Waltz in A minor,Chopin
20,100016,1,1,6,,,,,5,10,,1,,47,3,7,,song_tag_5,1,,,,,,Gavotte,Francois Joseph Gossec
21,100073,1,17,6,,,9,,2,2002,,1,,49,1,10,,song_tag_23,1,1,,,,,Ode An Die Freude,Beethoven
22,100017,1,1,7,,,,,4,11,,,,52,1,8,,song_tag_5,1,,,,,,Por Una Cabeza,Carlos Gardel
23,100020,1,1,7,,,,,4,14,,,,40,2,7,,song_tag_5,1,,,,,,Waltz Op.64 No.1,Chopin
24,100018,1,1,7,,,,,5,12,,,,47,2,9,10,song_tag_22,2,,,,,,Moments Musicaux,Schubert
25,100084,1,17,7,,,9,,2,2002,,1,,34,3,1,,song_tag_1,1,1,,,,,Oh! Susanna,American Folk Music
26,100023,1,1,8,,,,,7,16,,1,,42,1,38,,song_tag_14,1,,,,,,Prelude in C Major No.1,J.S. Bach
27,100024,1,1,8,,,,,7,16,,1,,45,1,7,,song_tag_5,1,,,,,,Tritsch Tratsch Polka,Johann Strauss II
28,100021,1,1,8,,,,,6,15,,,,61,2,7,,song_tag_5,2,,,,,,Dance of the Sugar Fairy,Tchaikovsky
29,100139,1,17,8,,,,3,2,2002,,1,,49,1,4,,song_tag_3,1,1,,,,,Auld Lang Syne,Robert Burns
30,100026,1,1,9,,,,,7,17,,,,39,1,2,,song_tag_2,1,,,,,,Sonata in D Major K311,Mozart
31,100057,1,1,9,,,,,5,42,,1,,42,3,20,,song_tag_25,1,,,,,,Bridal Chorus,Wagner
32,100025,1,1,9,,,,,7,16,,1,,66,1,7,10,song_tag_5,2,,,,,,Cancan,Jacques Offenbach
33,100428,1,17,9,,,,3,3,2003,1,,12,143,1,9,,song_tag_22,1,1,,,,,Piano Tiles,Congfei Wei
34,100060,1,1,10,,,,,5,44,,,,36,2,7,,song_tag_5,1,,,,,,Minuet in G,J.S. Bach
35,100063,1,1,10,,,,,6,1005,,,,26,1,22,,song_tag_4,1,,,,,,Harmonious Blacksmith,Handel
36,100027,1,1,10,,,,,8,18,,,,51,2,10,,song_tag_23,2,,,,,,Symphony No.40 in g,Mozart
