RewarID,Rewar1Exp,Rewar2ExpFirst,Rewar3Exp,Rewar3Gold,Rewar3Goldline,RewarPro,RewarMax,RewarDaily,RewarMax2,
,首次1星通关奖励经验值值,首次2星奖励经验值值,首次3星奖励经验值值,首次3星奖励金币数,首次3星奖励金币行数,礼包出现概率,每次掉落最大值,每日最高获取值,每次掉落最大值2,
1,11,8,6,45,24,0.1,2,3,1,
2,30,20,10,45,24,0.1,2,3,1,
3,50,65,70,45,24,0.1,2,3,1,
4,50,65,70,45,24,0.1,2,3,1,
5,70,80,90,45,24,0.1,2,3,1,
6,70,80,90,45,24,0.1,2,3,1,
7,90,100,110,45,24,0.1,2,3,1,
8,90,100,110,45,24,0.1,2,3,1,
9,120,130,140,45,24,0.1,2,3,1,
10,120,130,140,45,24,0.1,2,3,1,
11,150,180,200,45,24,0.1,2,3,1,
12,150,180,200,55,29,0.1,2,4,1,
13,150,180,200,55,29,0.1,2,4,1,
14,200,230,250,45,24,0.1,2,3,1,
15,200,230,250,55,29,0.1,2,4,1,
16,240,260,280,55,29,0.1,2,4,1,
17,290,320,340,45,24,0.1,2,3,1,
18,290,320,340,55,29,0.1,2,4,1,
19,290,320,340,75,40,0.1,2,5,1,
20,350,370,400,55,29,0.1,2,4,1,
21,350,370,400,75,40,0.1,2,5,1,
22,420,440,460,75,40,0.1,2,5,1,
23,420,440,460,55,29,0.1,2,4,1,
24,480,500,520,55,29,0.1,2,4,1,
25,480,500,520,75,40,0.1,2,5,1,
26,480,500,520,75,40,0.1,2,5,1,
27,540,560,600,55,29,0.1,2,4,1,
28,540,560,600,75,40,0.1,2,5,1,
29,540,560,600,75,40,0.1,2,5,1,
30,620,650,680,55,29,0.1,2,4,1,
31,620,650,680,75,40,0.1,2,5,1,
32,620,650,680,75,40,0.1,2,5,1,
33,700,730,760,55,29,0.1,2,4,1,
34,700,730,760,75,40,0.1,2,5,1,
35,700,730,760,75,40,0.1,2,5,1,
36,800,820,840,75,40,0.1,2,5,1,
37,800,820,840,75,40,0.1,2,5,1,
38,800,820,840,75,40,0.1,2,5,1,
39,400,450,500,55,29,0.1,2,4,1,
40,900,920,950,75,40,0.1,2,5,1,
41,900,920,950,75,40,0.1,2,5,1,
42,900,950,1000,45,24,0.1,2,3,1,
43,900,950,1000,75,40,0.1,2,5,1,
44,1000,1050,1100,45,24,0.1,2,3,1,
45,1000,1050,1100,55,29,0.1,2,4,1,
46,240,260,280,55,29,0.1,2,4,1,
47,900,950,1000,55,29,0.1,2,4,1,
48,1000,1050,1100,55,29,0.1,2,4,1,
1001,1000,1100,1200,45,24,0.1,2,3,1,等级歌
1002,1000,1100,1200,45,24,0.1,2,3,1,
1003,1000,1100,1200,45,24,0.1,2,3,1,
1004,1000,1100,1200,45,24,0.1,2,3,1,
1005,1000,1100,1200,45,24,0.1,2,3,1,
1006,1000,1100,1200,45,24,0.1,2,3,1,
1007,1000,1100,1200,55,29,0.1,2,4,1,
1008,1000,1100,1200,75,40,0.1,2,5,1,
1009,1000,1100,1200,75,40,0.1,2,5,1,
1010,1000,1100,1200,75,40,0.1,2,5,1,
2001,100,150,200,45,24,0.1,2,3,1,精选购买
2002,200,250,300,45,24,0.1,2,3,1,
2003,300,350,400,45,24,0.1,2,3,1,
2004,400,450,500,45,24,0.1,2,3,1,
2005,500,550,600,45,24,0.1,2,3,1,
2006,600,650,700,45,24,0.1,2,3,1,
2007,700,750,800,55,29,0.1,2,4,1,
2008,800,850,900,75,40,0.1,2,5,1,
2009,900,950,1000,75,40,0.1,2,5,1,
2010,1000,1050,1100,75,40,0.1,2,5,1,
