id,rewardType,newComing,chanceMin,chanceMax,count,isSkinPiece
唯一标识,奖励类型,新用户,几率上限*10000,几率下限*10000,数量,是否是皮肤碎片
1,1-1-0,1,0,1000,2,0
2,5-8-0,1,1001,1100,1,0
3,2-1-0,1,1101,1400,200,0
4,6-2-0,1,1401,1600,1,0
5,1-1-0,1,1601,4600,10,0
6,6-3-0,1,4601,4800,1,0
7,9-6-99/9-8-99/9-4-99,1,4801,9800,6,1
8,6-1-0,1,9801,10000,1,0
9,1-1-0,0,0,1400,2,0
10,5-8-0,0,1401,1500,1,0
11,2-1-0,0,1501,2500,200,0
12,6-2-0,0,2501,4500,1,0
13,1-1-0,0,4501,5500,10,0
14,6-3-0,0,5501,7500,1,0
15,9-6-99/9-8-99/9-4-99,0,7501,8000,6,1
16,6-1-0,0,8001,10000,1,0
