lv,exp,RewarGold,RewarLife,RewarDiamond
ç­‰çº§,ç»éªŒ,å¥–åŠ±é‡‘å¸,å¥–åŠ±ä½“åŠ›,å¥–åŠ±é’»çŸ³
1,15,100,1,6
2,170,100,1,
3,350,100,1,
4,700,100,1,
5,1000,100,1,
6,1300,100,1,
7,1700,100,1,
8,2100,100,1,
9,2500,100,1,
10,3000,100,1,
11,3700,100,1,
12,4400,100,1,
13,5100,100,1,
14,5800,100,1,
15,6500,100,1,
16,7400,100,1,
17,8300,100,1,
18,9200,100,1,
19,10100,100,1,
20,10100,100,1,
21,10100,100,1,
22,10100,100,1,
23,10100,100,1,
24,10100,100,1,
25,10100,100,1,
26,10100,100,1,
27,10100,100,1,
28,10100,100,1,
29,10100,100,1,
30,10100,100,1,
31,10100,100,1,
32,10100,100,1,
33,10100,100,1,
34,10100,100,1,
35,10100,100,1,
36,10100,100,1,
37,10100,100,1,
38,10100,100,1,
39,10100,100,1,
40,10100,100,1,
41,10200,100,1,
42,10200,100,1,
43,10200,100,1,
44,10200,100,1,
45,10200,100,1,
46,10200,100,1,
47,10200,100,1,
48,10200,100,1,
49,10200,100,1,
50,10200,100,1,
51,10200,100,1,
52,10200,100,1,
53,10200,100,1,
54,10200,100,1,
55,10200,100,1,
56,10200,100,1,
57,10200,100,1,
58,10200,100,1,
59,10200,100,1,
60,10200,100,1,
61,10300,100,1,
62,10300,100,1,
63,10300,100,1,
64,10300,100,1,
65,10300,100,1,
66,10300,100,1,
67,10300,100,1,
68,10300,100,1,
69,10300,100,1,
70,10300,100,1,
71,10300,100,1,
72,10300,100,1,
73,10300,100,1,
74,10300,100,1,
75,10300,100,1,
76,10300,100,1,
77,10300,100,1,
78,10300,100,1,
79,10300,100,1,
80,10300,100,1,
81,10400,100,1,
82,10400,100,1,
83,10400,100,1,
84,10400,100,1,
85,10400,100,1,
86,10400,100,1,
87,10400,100,1,
88,10400,100,1,
89,10400,100,1,
90,10400,100,1,
91,10400,100,1,
92,10400,100,1,
93,10400,100,1,
94,10400,100,1,
95,10400,100,1,
96,10400,100,1,
97,10400,100,1,
98,10400,100,1,
99,10400,100,1,
100,10500,100,1,
101,10500,100,1,
102,10500,100,1,
103,10500,100,1,
104,10500,100,1,
105,10500,100,1,
106,10500,100,1,
107,10500,100,1,
108,10500,100,1,
109,10500,100,1,
110,10500,100,1,
111,10500,100,1,
112,10500,100,1,
113,10500,100,1,
114,10500,100,1,
115,10500,100,1,
116,10500,100,1,
117,10500,100,1,
118,10500,100,1,
119,10500,100,1,
120,10500,100,1,
121,10500,100,1,
122,-1,100,1,
