Id,Mid,BPM,base,speed,MusicJson,Musician,Acceleration,AniID,BridgeAniID
音乐ID[int],mid,bpm,基础音符,歌曲速度,音乐JSON文件[string],音乐家,竞技场加速度,特效索引,过渡特效索引
101,100001,85,0.5,170,Little Star,English Folk Music,,1024001,2048001
102,100001,90,0.5,180,Little Star,,,1024002,2048002
103,100001,94,0.5,188,Little Star,,,1024008,
201,100002,105,0.5,210,Jingle Bells,James Lord Pierpont,,,
202,100002,110,0.5,220,Jingle Bells,,,,
203,100002,115,0.5,230,Jingle Bells,,,,
301,100003,63,0.25,252,Canon,Johann Pachelbel,,,
302,100003,63,0.25,252,Canon,,,,
303,100003,64,0.25,256,Canon,,,,
401,100004,125,0.5,250,Two Tigers,French Folk Music,,1024001,2048001
402,100004,130,0.5,260,Two Tigers,,,1024002,2048002
403,100004,135,0.5,270,Two Tigers,,,1024010,
501,100614,70,0.5,140,Kiss The Rain,Yiruma,,,
502,100614,72,0.5,144,Kiss The Rain,,,,
503,100614,74,0.5,148,Kiss The Rain,,,,
601,100005,125,0.5,250,Happy New Year,English Folk Music,,,
602,100005,130,0.5,260,Happy New Year,,,,
603,100005,135,0.5,270,Happy New Year,,,,
701,100006,110,0.5,220,Beyer No.8,Ferdinand Beyer,,,
702,100006,115,0.5,230,Beyer No.8,,,,
703,100006,120,0.5,240,Beyer No.8,,,,
801,100007,110,0.5,220,Bluestone Alley,Congfei Wei,,,
802,100007,118,0.5,236,Bluestone Alley,,,,
803,100007,125,0.5,250,Bluestone Alley,,,,
901,100409,190,1,190,Warblings At Eve,Brinley Richards,,,
902,100409,194,1,194,Warblings At Eve,,,,
903,100409,198,1,198,Warblings At Eve,,,,
1001,100008,120,0.5,240,Jasmine,Chinese Folk Music,,,
1002,100008,65,0.25,260,Jasmine,,,,
1003,100008,70,0.25,280,Jasmine,,,,
1101,100009,115,0.5,230,Dolls and Bear Dancing,Polish Folk Music,,,
1102,100009,60,0.25,240,Dolls and Bear Dancing,,,,
1103,100009,125,0.5,250,Dolls and Bear Dancing,,,,
1201,100010,125,0.5,250,Happy Birthday to You,American Folk Music,,1024001,2048001
1202,100010,68,0.25,272,Happy Birthday to You,,,1024002,2048002
1203,100010,73,0.25,292,Happy Birthday to You,,,1024010,
1301,100613,75,0.25,300,River Flows In You,Yiruma,,,
1302,100613,77,0.25,308,River Flows In You,,,,
1303,100613,77,0.25,308,River Flows In You,,,,
1401,100011,115,0.5,230,Heidenroslein,Schubert,,,
1402,100011,128,0.5,256,Heidenroslein,,,,
1403,100011,140,0.5,280,Heidenroslein,,,,
1501,100012,120,0.5,240,The Painter,Polish Folk Music,,1024001,2048001
1502,100012,139,0.5,278,The Painter,,,1024002,2048002
1503,100012,156,0.5,312,The Painter,,,1024008,
1601,100013,120,0.5,240,Nocturne Op.9 No.2,Chopin,,1024001,2048001
1602,100013,139,0.5,278,Nocturne Op.9 No.2,,,1024002,2048002
1603,100013,156,0.5,312,Nocturne Op.9 No.2,,,1024008,
1701,100140,200,1,200,The Blue Danube,Johann Strauss II,,,
1702,100140,250,1,250,The Blue Danube,,,,
1703,100140,275,1,275,The Blue Danube,,,,
1801,100014,115,0.5,230,The Ruins of Athens No.4,Beethoven,,1024001,2048001
1802,100014,134,0.5,268,The Ruins of Athens No.4,,,1024002,2048002
1803,100014,146,0.5,292,The Ruins of Athens No.4,,,1024008,
1901,100015,135,0.5,270,Waltz in A minor,Chopin,,1024001,2048001
1902,100015,153,0.5,306,Waltz in A minor,,,1024002,2048002
1903,100015,167,0.5,334,Waltz in A minor,,,1024008,
2001,100016,130,0.5,260,Gavotte,Francois Joseph Gossec,,,
2002,100016,148,0.5,296,Gavotte,,,,
2003,100016,162,0.5,324,Gavotte,,,,
2101,100073,180,1,180,Ode An Die Freude,Beethoven,,,
2102,100073,95,0.5,190,Ode An Die Freude,,,,
2103,100073,200,1,200,Ode An Die Freude,,,,
2201,100017,135,0.5,270,Por Una Cabeza,Carlos Gardel,,,
2202,100017,153,0.5,306,Por Una Cabeza,,,,
2203,100017,167,0.5,334,Por Una Cabeza,,,,
2301,100020,130,0.5,260,Waltz Op.64 No.1,Chopin,,,
2302,100020,148,0.5,296,Waltz Op.64 No.1,,,,
2303,100020,162,0.5,324,Waltz Op.64 No.1,,,,
2401,100018,80,0.25,320,Moments Musicaux,Schubert,,,
2402,100018,86,0.25,344,Moments Musicaux,,,,
2403,100018,91,0.25,364,Moments Musicaux,,,,
2501,100084,100,0.5,200,Oh! Susanna,American Folk Music,,,
2502,100084,103,0.5,206,Oh! Susanna,,,,
2503,100084,105,0.5,210,Oh! Susanna,,,,
2601,100023,70,0.25,280,Prelude in C Major No.1,J.S. Bach,,,
2602,100023,73,0.25,292,Prelude in C Major No.1,,,,
2603,100023,75,0.25,300,Prelude in C Major No.1,,,,
2701,100024,150,0.5,300,Tritsch Tratsch Polka,Johann Strauss II,,,
2702,100024,155,0.5,310,Tritsch Tratsch Polka,,,,
2703,100024,160,0.5,320,Tritsch Tratsch Polka,,,,
2801,100021,155,0.5,310,Dance of the Sugar Fairy,Tchaikovsky,,,
2802,100021,163,0.5,326,Dance of the Sugar Fairy,,,,
2803,100021,170,0.5,340,Dance of the Sugar Fairy,,,,
