Kid,Mid
KeyID,éŸ³ä¹ID
1,100001
2,100002
3,100003
4,100004
5,100614
6,100005
7,100006
8,100007
9,100409
10,100008
11,100009
12,100010
13,100613
14,100011
15,100012
16,100013
17,100140
18,100014
19,100015
20,100016
21,100073
22,100017
23,100020
24,100018
25,100084
26,100023
27,100024
28,100021
29,100139
30,100026
31,100057
32,100025
33,100428
34,100060
35,100063
36,100027
37,100681
38,100066
39,100029
40,100030
41,100433
42,100069
43,100032
44,100033
45,100430
46,100070
47,100035
48,100038
49,100343
50,100080
51,100041
52,100044
53,100441
54,100089
55,100058
56,100028
57,100072
58,100103
59,100061
60,100031
61,100176
62,100112
63,100064
64,100034
65,100074
66,100129
67,100067
68,100036
69,100704
70,100145
71,100081
72,100037
73,100358
74,100148
75,100104
76,100039
77,100661
78,100157
79,100113
80,100040
81,100087
82,100166
83,100121
84,100042
85,100432
86,100168
87,100122
88,100043
89,100342
90,100178
91,100130
92,100045
93,100314
94,100184
95,100131
96,100046
97,100344
98,100185
99,100146
100,100047
101,100437
102,100186
103,100147
104,100048
105,100594
106,100201
107,100149
108,100049
109,100350
110,100202
111,100158
112,100050
113,100466
114,100203
115,100159
116,100051
117,100412
118,100210
119,100167
120,100052
121,100697
122,100179
123,100180
124,100059
125,100212
126,100211
127,100062
128,100221
129,100065
130,100068
131,100219
132,100071
133,100082
134,100220
135,100222
136,100085
137,100232
138,100233
139,100090
140,100105
141,100114
142,100132
143,100240
144,100241
145,100242
146,100253
147,100254
148,100150
149,100263
150,100223
151,100231
152,100252
153,100266
154,100281
155,100262
156,100261
157,100224
158,100264
159,100265
160,100298
161,100276
162,100277
163,100278
164,100279
165,100280
166,100308
167,100288
168,100289
169,100290
170,100297
171,100299
172,100316
173,100306
174,100307
175,100326
176,100315
177,100317
178,100346
179,100324
180,100325
181,100352
182,100333
183,100334
184,100335
185,100347
186,100345
187,100388
188,100351
189,100353
190,100389
191,100360
192,100361
193,100362
194,100369
195,100370
196,100359
197,100383
198,100384
199,100385
200,100387
201,100396
202,100405
203,100382
204,100395
205,100415
206,100406
207,100404
208,100445
209,100416
210,100414
211,100019
212,100417
213,100418
214,100419
215,100420
216,100421
217,100422
218,100423
219,100424
220,100425
221,100443
222,100444
223,100022
224,100446
225,100447
226,100448
227,100449
228,100450
229,100451
230,100452
231,100453
232,100454
233,100455
234,100456
235,100457
236,100470
237,100471
238,100472
239,100473
240,100474
241,100475
242,100476
243,100477
244,100478
245,100479
246,100480
247,100481
248,100482
249,100483
250,100484
251,100490
252,100491
253,100492
254,100493
255,100494
256,100495
257,100496
258,100497
259,100498
260,100499
261,100500
262,100501
263,100502
264,100503
265,100504
266,100515
267,100516
268,100517
269,100518
270,100519
271,100520
272,100521
273,100522
274,100523
275,100524
276,100525
277,100526
278,100527
279,100528
280,100529
281,100539
282,100540
283,100541
284,100542
285,100543
286,100544
287,100545
288,100546
289,100547
290,100548
291,100549
292,100550
293,100551
294,100552
295,100553
296,100563
297,100564
298,100565
299,100566
300,100567
301,100568
302,100582
303,100583
304,100584
305,100585
306,100586
307,100587
308,100588
309,100589
310,100590
311,100598
312,100599
313,100600
314,100601
315,100602
316,100603
317,100604
318,100605
319,100606
320,100607
321,100608
322,100609
323,100610
324,100611
325,100612
326,100625
327,100626
328,100627
329,100628
330,100629
331,100630
332,100631
333,100632
334,100633
335,100651
336,100652
337,100653
338,100654
339,100655
340,100656
341,100657
342,100658
343,100659
344,100675
345,100676
346,100677
347,100678
348,100679
349,100680
350,100691
351,100692
352,100693
353,100694
354,100695
355,100696
356,100718
357,100719
358,100720
359,100721
360,100722
361,100723
362,100724
363,100725
364,100726
365,100727
366,100728
367,100729
368,100730
369,100731
370,100732
371,100733
372,100734
373,100735
374,100751
375,100752
376,100753
377,100754
378,100755
379,100756
380,100768
381,100769
382,100770
383,100776
384,100777
385,100778
386,100779
387,100780
388,100781
389,100785
390,100786
391,100787
392,400001
393,400002
394,400003
395,400004
396,400005
397,400006
398,400007
399,400008
400,200004
401,200001
402,200002
403,200003
404,400009
405,400010
406,400011
407,400012
408,400013
409,400014
410,400015
411,400016
412,400017
413,400018
414,400019
415,400020
416,400021
417,400022
418,400023
419,400024
420,400025
421,400026
422,400027
423,400028
424,400029
425,400030
426,400031
427,400032
428,400033
429,400034
430,400035
431,400036
432,400037
433,400038
434,400039
435,400040
436,400041
437,400055
438,400056
439,400048
440,400044
441,400057
442,400058
443,400059
444,400060
445,400061
446,400062
447,400063
448,400064
449,400065
