id,frequenceMin,frequenceMax,chance,coin,fragments,power,fixedReward
å”¯ä¸€æ ‡è¯†,æ¬¡æ•°æœ€å°å€¼,æ¬¡æ•°æœ€å¤§å€¼,å‡ çŽ‡*10000,é‡‘å¸,æ‹¼å›¾ç¢Žç‰‡,ä½“åŠ›,å›ºå®šå¥–åŠ±
101,1,5,1000,5,0,,10
102,1,5,1000,10,0,,10
103,1,5,500,15,0,,10
104,1,5,,20,2,,10
105,1,5,6000,,0,,10
106,1,5,1500,,0,1,10
107,6,10,1500,5,0,,10
108,6,10,1500,10,0,,10
109,6,10,1000,15,0,,10
110,6,10,500,20,0,,10
111,6,10,4000,,0,,10
112,6,10,1500,,0,1,10
113,11,15,2000,5,0,,10
114,11,15,2500,10,0,,10
115,11,15,1000,15,0,,10
116,11,15,500,20,0,,10
117,11,15,2000,,0,,10
118,11,15,2000,,0,1,10
119,16,100,2000,5,0,,10
120,16,100,2500,10,0,,10
121,16,100,1000,15,0,,10
122,16,100,500,20,0,,10
123,16,100,1000,,0,,10
124,16,100,2500,,0,1,10
